레코드 수,고객 세그먼트,고객명,고객번호,고유 ID,국가,매출,배송 방법,배송 일자,수량,수익,시군구,시도,제품 대분류,제품 중분류,제품 코드,제품명,주문 번호,주문 일자,지역,할인율
1,기업 고객,유원경,NC-18625,50,대한민국,339898.68,당일 배송,2018. 9. 17.,3,67895.28,서대문구,서울특별시,가구,책장,FUR-BO-10000112,"Dania Corner Shelving, Pine",IN-2015-71235,2018. 9. 17.,수도권,0.1
1,기업 고객,유원경,NC-18625,51,대한민국,90165.96,당일 배송,2018. 9. 17.,2,24987.96,서대문구,서울특별시,사무용품,종이,OFF-PA-10000453,"Xerox Cards & Envelopes, 8.5 x 11",IN-2015-71235,2018. 9. 17.,수도권,0.1
1,기업 고객,황상철,MD-17860,52,대한민국,3251250,표준 배송,2016. 10. 4.,5,357561,과천시,경기도,사무기기,전화기,TEC-PH-10001457,"Apple Smart Phone, Full Size",IN-2013-29571,2016. 9. 28.,수도권,0
1,기업 고객,홍희창,KB-16240,53,대한민국,284212.8,표준 배송,2018. 3. 5.,6,56732.4,노원구,서울특별시,사무용품,봉투,OFF-EN-10001491,"Jiffy Interoffice Envelope, Set of 50",ID-2015-17265,2018. 3. 1.,수도권,0
1,소비자,권상혁,EM-13960,54,대한민국,387405.18,표준 배송,2017. 9. 19.,3,116136.18,계양구,인천광역시,사무용품,수납용품,OFF-ST-10000704,"Rogers File Cart, Blue",IN-2014-34702,2017. 9. 14.,수도권,0.1
1,소비자,권상혁,EM-13960,55,대한민국,1234838.52,표준 배송,2017. 9. 19.,9,384127.92,계양구,인천광역시,가구,책장,FUR-BO-10004806,"Safco Corner Shelving, Traditional",IN-2014-34702,2017. 9. 14.,수도권,0.1
1,소비자,권상혁,EM-13960,56,대한민국,333509.4,표준 배송,2017. 9. 19.,7,96175.8,계양구,인천광역시,가구,가구류,FUR-FU-10003939,"Tenex Photo Frame, Duo Pack",IN-2014-34702,2017. 9. 14.,수도권,0.1
1,소비자,권상혁,EM-13960,57,대한민국,185068.8,표준 배송,2017. 9. 19.,8,24480,계양구,인천광역시,가구,가구류,FUR-FU-10001477,"Rubbermaid Stacking Tray, Black",IN-2014-34702,2017. 9. 14.,수도권,0.1
1,소비자,권상혁,EM-13960,58,대한민국,72292.5,표준 배송,2017. 9. 19.,5,15988.5,계양구,인천광역시,사무용품,필기구,OFF-AR-10002797,"Sanford Highlighters, Blue",IN-2014-34702,2017. 9. 14.,수도권,0.1
1,소비자,권상혁,EM-13960,59,대한민국,475450.56,표준 배송,2017. 9. 19.,2,179609.76,계양구,인천광역시,사무기기,악세사리,TEC-AC-10000420,"Belkin Router, USB",IN-2014-34702,2017. 9. 14.,수도권,0.1
1,소비자,권상혁,EM-13960,60,대한민국,988465.68,표준 배송,2017. 9. 19.,9,-77056.92,계양구,인천광역시,사무기기,복사기,TEC-CO-10003393,"Sharp Personal Copier, Digital",IN-2014-34702,2017. 9. 14.,수도권,0.1
1,소비자,권상혁,EM-13960,61,대한민국,20985.48,표준 배송,2017. 9. 19.,2,8623.08,계양구,인천광역시,사무용품,바인더,OFF-BI-10002853,"Avery Binder Covers, Recycled",IN-2014-34702,2017. 9. 14.,수도권,0.1
1,소비자,권상혁,EM-13960,62,대한민국,122277.6,표준 배송,2017. 9. 19.,5,-4100.4,계양구,인천광역시,사무용품,필기구,OFF-AR-10000539,"Boston Markers, Easy-Erase",IN-2014-34702,2017. 9. 14.,수도권,0.1
1,소비자,유일,ML-18265,63,대한민국,60710.4,표준 배송,2016. 9. 29.,4,18115.2,서구,인천광역시,사무용품,종이,OFF-PA-10002461,"Eaton Parchment Paper, Multicolor",IN-2013-20996,2016. 9. 25.,수도권,0
1,소비자,오승리,FO-14305,64,대한민국,24730.92,특급 배송,2016. 5. 15.,2,-850.68,광진구,서울특별시,사무용품,종이,OFF-PA-10000215,"Eaton Parchment Paper, Premium",ID-2013-28682,2016. 5. 13.,수도권,0.1
1,소비자,오승리,FO-14305,65,대한민국,418387.68,특급 배송,2016. 5. 15.,6,153269.28,광진구,서울특별시,사무기기,전화기,TEC-PH-10002602,"Nokia Headset, Cordless",ID-2013-28682,2016. 5. 13.,수도권,0.1
1,소비자,오승리,FO-14305,66,대한민국,304592.4,특급 배송,2016. 5. 15.,2,37209.6,광진구,서울특별시,가구,의자,FUR-CH-10004810,"Hon Swivel Stool, Set of Two",ID-2013-28682,2016. 5. 13.,수도권,0.1
1,소비자,안솔길,ME-17725,67,대한민국,191586.6,표준 배송,2015. 9. 21.,3,34425,안산시,경기도,사무용품,수납용품,OFF-ST-10000220,"Rogers Shelving, Industrial",IN-2012-78823,2015. 9. 16.,수도권,0
1,소비자,안솔길,ME-17725,68,대한민국,368424,표준 배송,2015. 9. 21.,7,158293.8,안산시,경기도,가구,가구류,FUR-FU-10004820,"Advantus Photo Frame, Erganomic",IN-2012-78823,2015. 9. 16.,수도권,0
1,소비자,안솔길,ME-17725,69,대한민국,27356.4,표준 배송,2015. 9. 21.,2,13647.6,안산시,경기도,사무용품,파스너,OFF-FA-10000577,"Stockwell Push Pins, 12 Pack",IN-2012-78823,2015. 9. 16.,수도권,0
1,소비자,안솔길,ME-17725,70,대한민국,50581.8,표준 배송,2015. 9. 21.,3,12576.6,안산시,경기도,사무용품,파스너,OFF-FA-10004813,"Stockwell Rubber Bands, Bulk Pack",IN-2012-78823,2015. 9. 16.,수도권,0
1,소비자,안솔길,ME-17725,71,대한민국,36352.8,표준 배송,2015. 9. 21.,3,14871.6,안산시,경기도,사무용품,파스너,OFF-FA-10003218,"Advantus Push Pins, Assorted Sizes",IN-2012-78823,2015. 9. 16.,수도권,0
1,소비자,안솔길,ME-17725,72,대한민국,54712.8,표준 배송,2015. 9. 21.,6,15789.6,안산시,경기도,사무용품,라벨,OFF-LA-10004114,"Avery File Folder Labels, Alphabetical",IN-2012-78823,2015. 9. 16.,수도권,0
1,기업 고객,이한울,CS-12175,73,대한민국,23574.24,표준 배송,2017. 7. 10.,1,-15716.16,광명시,경기도,사무기기,악세사리,TEC-AC-10000111,"SanDisk Mouse, USB",ID-2014-67952,2017. 7. 6.,수도권,0.4
1,홈 오피스,서지선,CR-12580,74,대한민국,130264.2,표준 배송,2015. 8. 17.,3,61138.8,창원시,경상남도,가구,가구류,FUR-FU-10002525,"Deflect-O Door Stop, Erganomic",IN-2012-21983,2015. 8. 13.,영남,0
1,소비자,한정호,MS-17710,75,대한민국,61138.8,표준 배송,2017. 10. 9.,3,25795.8,음성군,충청북도,사무용품,필기구,OFF-AR-10004780,"Stanley Markers, Blue",IN-2014-41681,2017. 10. 4.,충청,0.1
1,소비자,유휘재,CK-12595,76,대한민국,224175.6,표준 배송,2018. 7. 15.,2,60526.8,정선군,강원도,가구,가구류,FUR-FU-10000666,"Rubbermaid Frame, Black",IN-2015-32091,2018. 7. 11.,강원,0
1,소비자,유휘재,CK-12595,77,대한민국,73440,표준 배송,2018. 7. 15.,3,4406.4,정선군,강원도,사무용품,수납용품,OFF-ST-10001824,"Rogers Box, Single Width",IN-2015-32091,2018. 7. 11.,강원,0
1,소비자,강지환,JC-15340,78,대한민국,194322.24,표준 배송,2016. 4. 16.,4,66903.84,강동구,서울특별시,사무용품,바인더,OFF-BI-10002562,"Ibico Binding Machine, Durable",IN-2013-65747,2016. 4. 11.,수도권,0.1
1,소비자,정준서,RM-19375,79,대한민국,14238.18,표준 배송,2016. 6. 10.,1,-970.02,강남구,서울특별시,사무용품,바인더,OFF-BI-10001967,"Acco Binder, Recycled",ID-2013-20562,2016. 6. 5.,수도권,0.1
1,소비자,윤성주,NC-18415,80,대한민국,9406.44,표준 배송,2017. 6. 22.,2,-6933.96,함평군,전라남도,사무용품,라벨,OFF-LA-10002272,"Smead File Folder Labels, Alphabetical",ID-2014-18448,2017. 6. 18.,호남,0.47
1,소비자,윤성주,NC-18415,81,대한민국,35734.986,표준 배송,2017. 6. 22.,7,-6034.014,함평군,전라남도,사무용품,바인더,OFF-BI-10004868,"Wilson Jones Hole Reinforcements, Durable",ID-2014-18448,2017. 6. 18.,호남,0.17
1,소비자,윤성주,NC-18415,82,대한민국,19023.714,표준 배송,2017. 6. 22.,3,-1447.686,함평군,전라남도,사무용품,라벨,OFF-LA-10004848,"Avery Legal Exhibit Labels, 5000 Label Set",ID-2014-18448,2017. 6. 18.,호남,0.47
1,기업 고객,이성혜,NS-18640,83,대한민국,32925.6,표준 배송,2018. 11. 19.,4,8445.6,동대문구,서울특별시,사무용품,라벨,OFF-LA-10003778,"Novimex File Folder Labels, Alphabetical",IN-2015-29753,2018. 11. 13.,수도권,0
1,기업 고객,이성혜,NS-18640,84,대한민국,127693.8,표준 배송,2018. 11. 19.,3,30569.4,동대문구,서울특별시,사무기기,악세사리,TEC-AC-10001278,"Enermax Flash Drive, USB",IN-2015-29753,2018. 11. 13.,수도권,0
1,기업 고객,이성혜,NS-18640,85,대한민국,573933.6,표준 배송,2018. 11. 19.,4,212241.6,동대문구,서울특별시,사무용품,수납용품,OFF-ST-10000704,"Rogers File Cart, Blue",IN-2015-29753,2018. 11. 13.,수도권,0
1,홈 오피스,서지선,CR-12580,86,대한민국,118024.2,표준 배송,2018. 12. 13.,7,41126.4,창원시,경상남도,사무용품,수납용품,OFF-ST-10003810,"Tenex Box, Single Width",IN-2015-55513,2018. 12. 9.,영남,0
1,홈 오피스,서지선,CR-12580,87,대한민국,46512,표준 배송,2018. 12. 13.,4,856.8,창원시,경상남도,사무용품,봉투,OFF-EN-10000114,"Kraft Clasp Envelope, Security-Tint",IN-2015-55513,2018. 12. 9.,영남,0
1,기업 고객,손예준,MZ-17515,88,대한민국,54621,표준 배송,2018. 9. 20.,3,7068.6,합천군,경상남도,사무용품,필기구,OFF-AR-10001405,"Binney & Smith Highlighters, Fluorescent",IN-2015-76674,2018. 9. 14.,영남,0
1,기업 고객,손예준,MZ-17515,89,대한민국,358876.8,표준 배송,2018. 9. 20.,4,150674.4,합천군,경상남도,가구,의자,FUR-CH-10002188,"SAFCO Steel Folding Chair, Set of Two",IN-2015-76674,2018. 9. 14.,영남,0
1,기업 고객,차보민,RS-19765,90,대한민국,85842.18,특급 배송,2017. 1. 7.,3,-6692.22,부산진구,부산광역시,사무용품,수납용품,OFF-ST-10003445,"Rogers Folders, Industrial",ID-2014-79964,2017. 1. 6.,영남,0.1
1,소비자,이유영,ZC-21910,91,대한민국,15789.6,표준 배송,2018. 3. 5.,2,244.8,부산진구,부산광역시,사무용품,바인더,OFF-BI-10002424,"Avery Binder, Economy",IN-2015-47463,2018. 2. 28.,영남,0.4
1,홈 오피스,소유희,MA-17995,92,대한민국,40208.4,표준 배송,2015. 11. 30.,4,8384.4,중랑구,서울특별시,사무용품,라벨,OFF-LA-10000506,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",IN-2012-42591,2015. 11. 26.,수도권,0.1
1,홈 오피스,유옥자,FC-14245,93,대한민국,29062.656,표준 배송,2018. 6. 30.,4,-5576.544000000,옥천군,충청북도,사무용품,종이,OFF-PA-10004260,"Xerox Memo Slips, Recycled",ID-2015-17657,2018. 6. 25.,충청,0.47
1,소비자,반미애,PG-18820,94,대한민국,139903.2,빠른 배송,2017. 4. 30.,1,32160.6,공주시,충청남도,가구,의자,FUR-CH-10004009,"SAFCO Rocking Chair, Set of Two",IN-2014-59755,2017. 4. 27.,충청,0
1,소비자,반미애,PG-18820,95,대한민국,1340739,빠른 배송,2017. 4. 30.,3,40208.4,공주시,충청남도,가구,책장,FUR-BO-10000288,"Safco Classic Bookcase, Traditional",IN-2014-59755,2017. 4. 27.,충청,0
1,소비자,신지애,HG-14845,96,대한민국,42668.64,특급 배송,2015. 5. 6.,1,-8249.76,강남구,서울특별시,사무기기,전산기기,TEC-MA-10004298,"Panasonic Calculator, Durable",ID-2012-74721,2015. 5. 5.,수도권,0.17
1,소비자,신지애,HG-14845,97,대한민국,83684.88,특급 배송,2015. 5. 6.,8,-33329.52,강남구,서울특별시,사무용품,파스너,OFF-FA-10001010,"Stockwell Clamps, Metal",ID-2012-74721,2015. 5. 5.,수도권,0.47
1,소비자,신지애,HG-14845,98,대한민국,56713.734,특급 배송,2015. 5. 6.,1,654.534000000,강남구,서울특별시,사무용품,가전,OFF-AP-10002017,"Cuisinart Blender, Red",ID-2012-74721,2015. 5. 5.,수도권,0.17
1,소비자,임강준,HM-14980,99,대한민국,27784.8,표준 배송,2018. 11. 7.,2,9424.8,동구,대전광역시,사무용품,파스너,OFF-FA-10001187,"Stockwell Paper Clips, Bulk Pack",IN-2015-60476,2018. 11. 3.,충청,0
1,소비자,임강준,HM-14980,100,대한민국,50184,표준 배송,2018. 11. 7.,5,3978,동구,대전광역시,사무용품,파스너,OFF-FA-10001045,"Stockwell Staples, 12 Pack",IN-2015-60476,2018. 11. 3.,충청,0
1,소비자,임강준,HM-14980,101,대한민국,188496,표준 배송,2018. 11. 7.,5,75276,동구,대전광역시,사무용품,봉투,OFF-EN-10003000,"Cameo Mailers, Recycled",IN-2015-60476,2018. 11. 3.,충청,0
1,소비자,임강준,HM-14980,102,대한민국,27540,표준 배송,2018. 11. 7.,2,13464,동구,대전광역시,사무용품,바인더,OFF-BI-10001904,"Cardinal Binder Covers, Durable",IN-2015-60476,2018. 11. 3.,충청,0
1,소비자,임강준,HM-14980,103,대한민국,50551.2,표준 배송,2018. 11. 7.,2,14137.2,동구,대전광역시,사무용품,필기구,OFF-AR-10002727,"Stanley Pencil Sharpener, Fluorescent",IN-2015-60476,2018. 11. 3.,충청,0
1,홈 오피스,이석진,BE-11335,104,대한민국,142290,특급 배송,2016. 6. 30.,1,11383.2,제주시,제주특별자치도,사무기기,전화기,TEC-PH-10001917,"Apple Signal Booster, Cordless",IN-2013-60371,2016. 6. 28.,호남,0
1,홈 오피스,이석진,BE-11335,105,대한민국,346881.6,특급 배송,2016. 6. 30.,2,34639.2,제주시,제주특별자치도,사무기기,복사기,TEC-CO-10000778,"Sharp Fax and Copier, Color",IN-2013-60371,2016. 6. 28.,호남,0
1,기업 고객,구용성,CS-12250,106,대한민국,12056.4,표준 배송,2018. 10. 23.,2,2019.6,동작구,서울특별시,사무용품,바인더,OFF-BI-10004334,"Avery Hole Reinforcements, Durable",IN-2015-57410,2018. 10. 17.,수도권,0
1,기업 고객,구용성,CS-12250,107,대한민국,292842,표준 배송,2018. 10. 23.,5,131733,동작구,서울특별시,사무용품,수납용품,OFF-ST-10001026,"Fellowes Trays, Single Width",IN-2015-57410,2018. 10. 17.,수도권,0
1,기업 고객,구용성,CS-12250,108,대한민국,25030.8,표준 배송,2018. 10. 23.,1,7252.2,동작구,서울특별시,사무용품,봉투,OFF-EN-10003838,"Cameo Peel and Seal, with clear poly window",IN-2015-57410,2018. 10. 17.,수도권,0
1,기업 고객,윤정훈,JC-16105,109,대한민국,163747.332,특급 배송,2016. 7. 10.,1,-1768.068,도봉구,서울특별시,가구,책장,FUR-BO-10004399,"Bush Floating Shelf Set, Pine",ID-2013-10230,2016. 7. 7.,수도권,0.07
1,기업 고객,윤정훈,JC-16105,110,대한민국,16639.668,특급 배송,2016. 7. 10.,3,-343.332000000,도봉구,서울특별시,사무용품,라벨,OFF-LA-10004062,"Hon Removable Labels, 5000 Label Set",ID-2013-10230,2016. 7. 7.,수도권,0.47
